distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,5,20260812,32,luma_sd,False,24,0.18782608695652173,0.18782608695652173,-0.2489044697633655,0.5909160716422678,0,True,False,nan,nan,24,24
awgn,5,20260812,32,edge_fraction,False,24,0.8669565217391304,0.8669565217391304,0.6999103035551887,0.9370629370629371,0,True,False,nan,nan,24,24
awgn,5,20260812,32,glcm_contrast,False,24,0.7782608695652175,0.7782608695652175,0.513986013986014,0.909130624726955,0,True,False,nan,nan,24,24
awgn,5,20260812,32,glcm_entropy,False,24,0.6834782608695652,0.6834782608695652,0.3690191548101998,0.8529540481400439,0,True,False,nan,nan,24,24
awgn,5,20260812,32,glcm_homogeneity,False,24,-0.7713043478260868,0.7713043478260868,-0.8872888708397173,-0.5270979020979021,0,True,False,nan,nan,24,24
awgn,5,20260812,37,sobel_si,False,24,0.7878260869565217,0.7878260869565217,0.5455301703550391,0.9079351161771152,0,True,False,nan,nan,24,24
awgn,5,20260812,37,luma_sd,False,24,0.23739130434782607,0.23739130434782607,-0.19336534264513314,0.6102899591869144,0,True,False,nan,nan,24,24
awgn,5,20260812,37,edge_fraction,False,24,0.8843478260869565,0.8843478260869565,0.7265181301878549,0.9499791575252305,0,True,False,nan,nan,24,24
awgn,5,20260812,37,glcm_contrast,False,24,0.8356521739130434,0.8356521739130434,0.6192539153201533,0.9370078740157483,0,True,False,nan,nan,24,24
awgn,5,20260812,37,glcm_entropy,False,24,0.728695652173913,0.728695652173913,0.4418563307493542,0.8753839403247038,0,True,False,nan,nan,24,24
awgn,5,20260812,37,glcm_homogeneity,False,24,-0.8078260869565217,0.8078260869565217,-0.8965819456617004,-0.5915854040153855,0,True,False,nan,nan,24,24
awgn,5,20260813,22,sobel_si,False,24,0.6078260869565217,0.6078260869565217,0.24527806232032534,0.81993006993007,0,True,False,nan,nan,24,24
awgn,5,20260813,22,luma_sd,False,24,0.09130434782608697,0.09130434782608697,-0.3782837127845883,0.5541907028907906,0,True,False,nan,nan,24,24
awgn,5,20260813,22,edge_fraction,False,24,0.817391304347826,0.817391304347826,0.5949145111793073,0.9181698196216455,0,True,False,nan,nan,24,24
awgn,5,20260813,22,glcm_contrast,False,24,0.7226086956521739,0.7226086956521739,0.3983384346305203,0.9051383399209485,0,True,False,nan,nan,24,24
awgn,5,20260813,22,glcm_entropy,False,24,0.6408695652173912,0.6408695652173912,0.3022847100175748,0.8374847109190948,0,True,False,nan,nan,24,24
awgn,5,20260813,22,glcm_homogeneity,False,24,-0.7243478260869565,0.7243478260869565,-0.8933100131176213,-0.40753724802804564,0,True,False,nan,nan,24,24
awgn,5,20260813,27,sobel_si,False,24,0.6556521739130434,0.6556521739130434,0.3301094639164273,0.8378390221948504,0,True,False,nan,nan,24,24
awgn,5,20260813,27,luma_sd,False,24,0.12434782608695652,0.12434782608695652,-0.34297041058625544,0.5761821366024517,0,True,False,nan,nan,24,24
awgn,5,20260813,27,edge_fraction,False,24,0.846086956521739,0.846086956521739,0.6532381617205001,0.926711952780754,0,True,False,nan,nan,24,24
awgn,5,20260813,27,glcm_contrast,False,24,0.7643478260869565,0.7643478260869565,0.48536350713573523,0.9073021425448187,0,True,False,nan,nan,24,24
